llm_version,prompt_type,prop_english_only
1.5,Creative,0.0070921985815602
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0048309178743961
1.5,Creative,0.0
1.5,Creative,0.0126582278481012
1.5,Creative,0.0214067278287461
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0048076923076923
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0246913580246913
1.5,Creative,0.0129870129870129
1.5,Creative,0.0
1.5,Creative,0.1447368421052631
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0077519379844961
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0145454545454545
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0091463414634146
1.5,Creative,0.0
1.5,Creative,0.0031746031746031
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0165016501650165
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0042194092827004
1.5,Creative,0.0
1.5,Creative,0.04375
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0081967213114754
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.014388489208633
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0038910505836575
1.5,Creative,0.0034722222222222
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0161290322580645
1.5,Creative,0.0169491525423728
1.5,Creative,0.0033003300330033
1.5,Creative,0.0
1.5,Creative,0.0137614678899082
1.5,Creative,0.0043668122270742
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0092592592592592
1.5,Creative,0.0044843049327354
1.5,Creative,0.0035211267605633
1.5,Creative,0.0111111111111111
1.5,Creative,0.018018018018018
1.5,Creative,0.0
1.5,Creative,0.0568720379146919
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0091185410334346
1.5,Creative,0.0138408304498269
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0204678362573099
1.5,Creative,0.0253623188405797
1.5,Creative,0.0
1.5,Creative,0.0071428571428571
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0105263157894736
1.5,Creative,0.0
1.5,Creative,0.022801302931596
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0122699386503067
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.003731343283582
1.5,Creative,0.0
1.5,Creative,0.5314285714285715
1.5,Creative,0.0187165775401069
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.00625
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0040816326530612
1.5,Creative,0.0
1.5,Creative,0.0079681274900398
1.5,Creative,0.019047619047619
1.5,Creative,0.0041322314049586
1.5,Creative,0.0111940298507462
1.5,Creative,0.0
1.5,Creative,0.0097087378640776
1.5,Creative,0.0071428571428571
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0163934426229508
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0062111801242236
1.5,Creative,0.0024570024570024
1.5,Creative,0.0
1.5,Creative,0.0121951219512195
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.09375
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0035971223021582
1.5,Creative,0.0146520146520146
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0503597122302158
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0035335689045936
1.5,Creative,0.0
1.5,Creative,0.014792899408284
1.5,Creative,0.0
1.5,Creative,0.009090909090909
1.5,Creative,0.0161290322580645
1.5,Creative,0.0173611111111111
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0034722222222222
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0491803278688524
1.5,Creative,0.0
1.5,Creative,0.0063492063492063
1.5,Creative,0.0238095238095238
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0032467532467532
1.5,Creative,0.031578947368421
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0071428571428571
1.5,Creative,0.0129870129870129
1.5,Creative,0.0090634441087613
1.5,Creative,0.0
1.5,Creative,0.0183823529411764
1.5,Creative,0.0094339622641509
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0199430199430199
1.5,Creative,0.0068649885583524
1.5,Creative,0.0
1.5,Creative,0.0206185567010309
1.5,Creative,0.0033557046979865
1.5,Creative,0.0
1.5,Creative,0.0034602076124567
1.5,Creative,0.0
1.5,Creative,0.1458333333333333
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0217391304347826
1.5,Creative,0.0032051282051282
1.5,Creative,0.0119047619047619
1.5,Creative,0.0040322580645161
1.5,Creative,0.0033333333333333
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0261194029850746
1.5,Creative,0.0
1.5,Creative,0.0095238095238095
1.5,Creative,0.022140221402214
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0041666666666666
1.5,Creative,0.0
1.5,Creative,0.0851063829787234
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0033112582781456
1.5,Creative,0.003831417624521
1.5,Creative,0.0
1.5,Creative,0.0103092783505154
1.5,Creative,0.0039682539682539
1.5,Creative,0.0092592592592592
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.00625
1.5,Creative,0.0
1.5,Creative,0.017094017094017
1.5,Creative,0.0
1.5,Creative,0.0172413793103448
1.5,Creative,0.0061538461538461
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0107142857142857
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0229885057471264
1.5,Creative,0.0151515151515151
1.5,Creative,0.024024024024024
1.5,Creative,0.0072463768115942
1.5,Creative,0.009009009009009
1.5,Creative,0.0
1.5,Creative,0.0210526315789473
1.5,Creative,0.009009009009009
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0153846153846153
1.5,Creative,0.003875968992248
1.5,Creative,0.0094936708860759
1.5,Creative,0.0036764705882352
1.5,Creative,0.0
1.5,Creative,0.0534351145038167
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.02
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0128617363344051
1.5,Creative,0.010204081632653
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0056818181818181
1.5,Creative,0.0309278350515463
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0037878787878787
1.5,Creative,0.0
1.5,Creative,0.0030395136778115
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0033333333333333
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0171232876712328
1.5,Creative,0.0310344827586206
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0041322314049586
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.002840909090909
1.5,Creative,0.0
1.5,Creative,0.0168918918918918
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.02
1.5,Creative,0.0166666666666666
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0058823529411764
1.5,Creative,0.010752688172043
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0902777777777777
1.5,Creative,0.0189274447949526
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.01171875
1.5,Creative,0.0067114093959731
1.5,Creative,0.0166666666666666
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0
1.5,Creative,0.0072992700729927
1.5,Creative,0.0
1.5,Creative,0.0045662100456621
